,Unnamed: 0,SubjectID,AssignmentID,ProblemID,Attempts,pProblemSyntaxError,pProblemSemanticError,pSubjectSyntaxError,pSubjectSemanticError,CorrectEventually,Label,pCorrectProblem,pMedian
0,0,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,1,8,0.37799999999999995,0.23,0.8,0.5670000000000001,True,False,0.5135135135135135,1.0
1,1,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,3,6,0.43799999999999994,0.479,0.8,0.5670000000000001,True,False,0.3972602739726027,2.0
2,2,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,5,7,0.392,0.405,0.8,0.5670000000000001,True,False,0.43243243243243246,2.0
3,3,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,12,2,0.27399999999999997,0.151,0.8,0.5670000000000001,True,True,0.6301369863013698,1.0
4,4,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,13,17,0.821,0.474,0.8,0.5670000000000001,True,False,0.10256410256410256,6.0
5,5,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,232,9,0.779,0.325,0.8,0.5670000000000001,True,False,0.19480519480519481,4.0
6,6,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,233,1,0.43799999999999994,0.425,0.8,0.5670000000000001,True,True,0.3424657534246575,2.0
7,7,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,234,3,0.493,0.342,0.8,0.5670000000000001,True,True,0.3835616438356164,2.0
8,8,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,235,1,0.307,0.56,0.8,0.5670000000000001,True,True,0.32,2.0
9,9,036ad3e516c5bf3a4b3be35b137bcbb8,439.0,236,3,0.616,0.35600000000000004,0.8,0.5670000000000001,True,True,0.2876712328767123,2.0
10,10,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,17,3,0.35200000000000004,0.19699999999999998,0.8,0.5670000000000001,True,False,0.5774647887323944,1.0
11,11,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,20,25,0.431,0.528,0.8,0.5670000000000001,True,False,0.3333333333333333,2.0
12,12,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,21,3,0.32899999999999996,0.233,0.8,0.5670000000000001,True,False,0.5753424657534246,1.0
13,13,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,22,8,0.535,0.31,0.8,0.5670000000000001,True,False,0.4084507042253521,2.0
14,14,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,24,23,0.649,0.597,0.8,0.5670000000000001,True,False,0.23376623376623376,4.0
15,15,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,25,4,0.6579999999999999,0.575,0.8,0.5670000000000001,True,True,0.2876712328767123,4.0
16,16,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,28,13,0.6,0.429,0.8,0.5670000000000001,True,False,0.35714285714285715,2.0
17,17,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,100,22,0.6890000000000001,0.257,0.8,0.5670000000000001,True,False,0.28378378378378377,2.0
18,18,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,101,27,0.792,0.736,0.8,0.5670000000000001,True,False,0.06944444444444445,5.0
19,19,036ad3e516c5bf3a4b3be35b137bcbb8,487.0,102,28,0.7,0.586,0.8,0.5670000000000001,True,False,0.2571428571428571,8.0
20,20,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,31,1,0.33299999999999996,0.267,0.8,0.5670000000000001,True,True,0.5866666666666667,1.0
21,21,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,32,2,0.507,0.24,0.8,0.5670000000000001,True,True,0.4266666666666667,2.0
22,22,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,33,3,0.45299999999999996,0.267,0.8,0.5670000000000001,True,True,0.49333333333333335,2.0
23,23,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,34,1,0.5489999999999999,0.324,0.8,0.5670000000000001,True,True,0.4084507042253521,2.0
24,24,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,36,8,0.467,0.307,0.8,0.5670000000000001,True,False,0.4666666666666667,2.0
25,25,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,37,20,0.608,0.38,0.8,0.5670000000000001,True,False,0.3670886075949367,2.0
26,26,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,38,26,0.5770000000000001,0.603,0.8,0.5670000000000001,True,False,0.3333333333333333,3.0
27,27,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,39,6,0.387,0.413,0.8,0.5670000000000001,True,False,0.44,2.0
28,28,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,40,30,0.688,0.512,0.8,0.5670000000000001,True,False,0.275,3.0
29,29,036ad3e516c5bf3a4b3be35b137bcbb8,492.0,128,14,0.564,0.397,0.8,0.5670000000000001,True,False,0.3974358974358974,2.0
30,30,085d5d1e61effabc440d74ac51b91d87,439.0,1,1,0.37799999999999995,0.23,0.33299999999999996,0.5,True,True,0.5135135135135135,1.0
31,31,085d5d1e61effabc440d74ac51b91d87,439.0,3,1,0.43799999999999994,0.479,0.33299999999999996,0.5,True,True,0.3972602739726027,2.0
32,32,085d5d1e61effabc440d74ac51b91d87,439.0,5,2,0.392,0.405,0.33299999999999996,0.5,True,True,0.43243243243243246,2.0
33,33,085d5d1e61effabc440d74ac51b91d87,439.0,12,1,0.27399999999999997,0.151,0.33299999999999996,0.5,True,True,0.6301369863013698,1.0
34,34,085d5d1e61effabc440d74ac51b91d87,439.0,13,3,0.821,0.474,0.33299999999999996,0.5,True,True,0.10256410256410256,6.0
35,35,085d5d1e61effabc440d74ac51b91d87,439.0,232,2,0.779,0.325,0.33299999999999996,0.5,True,True,0.19480519480519481,4.0
36,36,085d5d1e61effabc440d74ac51b91d87,439.0,233,1,0.43799999999999994,0.425,0.33299999999999996,0.5,True,True,0.3424657534246575,2.0
37,37,085d5d1e61effabc440d74ac51b91d87,439.0,234,1,0.493,0.342,0.33299999999999996,0.5,True,True,0.3835616438356164,2.0
38,38,085d5d1e61effabc440d74ac51b91d87,439.0,235,2,0.307,0.56,0.33299999999999996,0.5,True,True,0.32,2.0
39,39,085d5d1e61effabc440d74ac51b91d87,439.0,236,1,0.616,0.35600000000000004,0.33299999999999996,0.5,True,True,0.2876712328767123,2.0
40,40,085d5d1e61effabc440d74ac51b91d87,487.0,17,1,0.35200000000000004,0.19699999999999998,0.33299999999999996,0.5,True,True,0.5774647887323944,1.0
41,41,085d5d1e61effabc440d74ac51b91d87,487.0,20,1,0.431,0.528,0.33299999999999996,0.5,True,True,0.3333333333333333,2.0
42,42,085d5d1e61effabc440d74ac51b91d87,487.0,21,1,0.32899999999999996,0.233,0.33299999999999996,0.5,True,True,0.5753424657534246,1.0
43,43,085d5d1e61effabc440d74ac51b91d87,487.0,22,1,0.535,0.31,0.33299999999999996,0.5,True,True,0.4084507042253521,2.0
44,44,085d5d1e61effabc440d74ac51b91d87,487.0,24,1,0.649,0.597,0.33299999999999996,0.5,True,True,0.23376623376623376,4.0
45,45,085d5d1e61effabc440d74ac51b91d87,487.0,25,4,0.6579999999999999,0.575,0.33299999999999996,0.5,True,True,0.2876712328767123,4.0
46,46,085d5d1e61effabc440d74ac51b91d87,487.0,28,1,0.6,0.429,0.33299999999999996,0.5,True,True,0.35714285714285715,2.0
47,47,085d5d1e61effabc440d74ac51b91d87,487.0,100,4,0.6890000000000001,0.257,0.33299999999999996,0.5,True,True,0.28378378378378377,2.0
48,48,085d5d1e61effabc440d74ac51b91d87,487.0,101,5,0.792,0.736,0.33299999999999996,0.5,True,True,0.06944444444444445,5.0
49,49,085d5d1e61effabc440d74ac51b91d87,487.0,102,2,0.7,0.586,0.33299999999999996,0.5,True,True,0.2571428571428571,8.0
50,50,085d5d1e61effabc440d74ac51b91d87,492.0,31,5,0.33299999999999996,0.267,0.33299999999999996,0.5,True,False,0.5866666666666667,1.0
51,51,085d5d1e61effabc440d74ac51b91d87,492.0,32,8,0.507,0.24,0.33299999999999996,0.5,True,False,0.4266666666666667,2.0
52,52,085d5d1e61effabc440d74ac51b91d87,492.0,33,2,0.45299999999999996,0.267,0.33299999999999996,0.5,True,True,0.49333333333333335,2.0
53,53,085d5d1e61effabc440d74ac51b91d87,492.0,34,9,0.5489999999999999,0.324,0.33299999999999996,0.5,True,False,0.4084507042253521,2.0
54,54,085d5d1e61effabc440d74ac51b91d87,492.0,36,4,0.467,0.307,0.33299999999999996,0.5,True,True,0.4666666666666667,2.0
55,55,085d5d1e61effabc440d74ac51b91d87,492.0,37,9,0.608,0.38,0.33299999999999996,0.5,True,False,0.3670886075949367,2.0
56,56,085d5d1e61effabc440d74ac51b91d87,492.0,38,8,0.5770000000000001,0.603,0.33299999999999996,0.5,True,True,0.3333333333333333,3.0
57,57,085d5d1e61effabc440d74ac51b91d87,492.0,39,1,0.387,0.413,0.33299999999999996,0.5,True,True,0.44,2.0
58,58,085d5d1e61effabc440d74ac51b91d87,492.0,40,2,0.688,0.512,0.33299999999999996,0.5,True,True,0.275,3.0
59,59,085d5d1e61effabc440d74ac51b91d87,492.0,128,10,0.564,0.397,0.33299999999999996,0.5,True,False,0.3974358974358974,2.0
60,60,088d6dc6ddb3113e9b902711ccdfafef,439.0,1,1,0.37799999999999995,0.23,0.2,0.0333,True,True,0.5135135135135135,1.0
61,61,088d6dc6ddb3113e9b902711ccdfafef,439.0,3,1,0.43799999999999994,0.479,0.2,0.0333,True,True,0.3972602739726027,2.0
62,62,088d6dc6ddb3113e9b902711ccdfafef,439.0,5,1,0.392,0.405,0.2,0.0333,True,True,0.43243243243243246,2.0
63,63,088d6dc6ddb3113e9b902711ccdfafef,439.0,12,1,0.27399999999999997,0.151,0.2,0.0333,True,True,0.6301369863013698,1.0
64,64,088d6dc6ddb3113e9b902711ccdfafef,439.0,13,27,0.821,0.474,0.2,0.0333,True,False,0.10256410256410256,6.0
65,65,088d6dc6ddb3113e9b902711ccdfafef,439.0,232,1,0.779,0.325,0.2,0.0333,True,True,0.19480519480519481,4.0
66,66,088d6dc6ddb3113e9b902711ccdfafef,439.0,233,1,0.43799999999999994,0.425,0.2,0.0333,True,True,0.3424657534246575,2.0
67,67,088d6dc6ddb3113e9b902711ccdfafef,439.0,234,1,0.493,0.342,0.2,0.0333,True,True,0.3835616438356164,2.0
