SubjectID,AssignmentID,ProblemID,Label
04c32d4d95425f73b3a1d6502aed4d48,494,41,FALSE
04c32d4d95425f73b3a1d6502aed4d48,494,43,TRUE
04c32d4d95425f73b3a1d6502aed4d48,494,44,TRUE
04c32d4d95425f73b3a1d6502aed4d48,494,46,TRUE
04c32d4d95425f73b3a1d6502aed4d48,494,49,FALSE
04c32d4d95425f73b3a1d6502aed4d48,494,67,TRUE
04c32d4d95425f73b3a1d6502aed4d48,494,104,FALSE
04c32d4d95425f73b3a1d6502aed4d48,494,106,FALSE
04c32d4d95425f73b3a1d6502aed4d48,494,107,FALSE
04c32d4d95425f73b3a1d6502aed4d48,494,108,FALSE
04c32d4d95425f73b3a1d6502aed4d48,502,45,FALSE
04c32d4d95425f73b3a1d6502aed4d48,502,48,TRUE
04c32d4d95425f73b3a1d6502aed4d48,502,51,FALSE
04c32d4d95425f73b3a1d6502aed4d48,502,56,TRUE
04c32d4d95425f73b3a1d6502aed4d48,502,57,TRUE
04c32d4d95425f73b3a1d6502aed4d48,502,64,FALSE
04c32d4d95425f73b3a1d6502aed4d48,502,70,FALSE
04c32d4d95425f73b3a1d6502aed4d48,502,71,TRUE
04c32d4d95425f73b3a1d6502aed4d48,502,112,FALSE
04c32d4d95425f73b3a1d6502aed4d48,502,118,FALSE
0503bf609757acf2e75aa8cbc0d8323b,494,41,FALSE
0503bf609757acf2e75aa8cbc0d8323b,494,43,TRUE
0503bf609757acf2e75aa8cbc0d8323b,494,44,TRUE
0503bf609757acf2e75aa8cbc0d8323b,494,46,TRUE
0503bf609757acf2e75aa8cbc0d8323b,494,49,FALSE
0503bf609757acf2e75aa8cbc0d8323b,494,67,TRUE
0503bf609757acf2e75aa8cbc0d8323b,494,104,FALSE
0503bf609757acf2e75aa8cbc0d8323b,494,106,FALSE
0503bf609757acf2e75aa8cbc0d8323b,494,107,FALSE
0503bf609757acf2e75aa8cbc0d8323b,494,108,FALSE
06d801cb636235b298c40029ad9921e7,494,41,FALSE
06d801cb636235b298c40029ad9921e7,494,43,TRUE
06d801cb636235b298c40029ad9921e7,494,44,TRUE
06d801cb636235b298c40029ad9921e7,494,46,TRUE
06d801cb636235b298c40029ad9921e7,494,49,FALSE
06d801cb636235b298c40029ad9921e7,494,67,TRUE
06d801cb636235b298c40029ad9921e7,494,104,FALSE
06d801cb636235b298c40029ad9921e7,494,106,FALSE
06d801cb636235b298c40029ad9921e7,494,107,FALSE
06d801cb636235b298c40029ad9921e7,494,108,FALSE
06d801cb636235b298c40029ad9921e7,502,45,FALSE
06d801cb636235b298c40029ad9921e7,502,48,TRUE
06d801cb636235b298c40029ad9921e7,502,51,FALSE
06d801cb636235b298c40029ad9921e7,502,56,TRUE
06d801cb636235b298c40029ad9921e7,502,57,TRUE
06d801cb636235b298c40029ad9921e7,502,64,FALSE
06d801cb636235b298c40029ad9921e7,502,70,FALSE
06d801cb636235b298c40029ad9921e7,502,71,TRUE
06d801cb636235b298c40029ad9921e7,502,112,FALSE
06d801cb636235b298c40029ad9921e7,502,118,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,494,41,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,494,43,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,494,44,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,494,46,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,494,49,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,494,67,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,494,104,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,494,106,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,494,107,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,494,108,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,502,45,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,502,48,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,502,51,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,502,56,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,502,57,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,502,64,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,502,70,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,502,71,TRUE
07ae4cca3f90a49347ccb5c1a82ff46f,502,112,FALSE
07ae4cca3f90a49347ccb5c1a82ff46f,502,118,FALSE
07d34e2419c61216a85a2156b2cf8ae4,494,41,FALSE
07d34e2419c61216a85a2156b2cf8ae4,494,43,TRUE
07d34e2419c61216a85a2156b2cf8ae4,494,44,TRUE
07d34e2419c61216a85a2156b2cf8ae4,494,46,TRUE
07d34e2419c61216a85a2156b2cf8ae4,494,49,FALSE
07d34e2419c61216a85a2156b2cf8ae4,494,67,TRUE
07d34e2419c61216a85a2156b2cf8ae4,494,104,FALSE
07d34e2419c61216a85a2156b2cf8ae4,494,106,FALSE
07d34e2419c61216a85a2156b2cf8ae4,494,107,FALSE
07d34e2419c61216a85a2156b2cf8ae4,494,108,FALSE
07d34e2419c61216a85a2156b2cf8ae4,502,45,FALSE
07d34e2419c61216a85a2156b2cf8ae4,502,48,TRUE
07d34e2419c61216a85a2156b2cf8ae4,502,51,FALSE
07d34e2419c61216a85a2156b2cf8ae4,502,56,TRUE
07d34e2419c61216a85a2156b2cf8ae4,502,57,TRUE
07d34e2419c61216a85a2156b2cf8ae4,502,64,FALSE
07d34e2419c61216a85a2156b2cf8ae4,502,70,FALSE
07d34e2419c61216a85a2156b2cf8ae4,502,71,TRUE
07d34e2419c61216a85a2156b2cf8ae4,502,112,FALSE
07d34e2419c61216a85a2156b2cf8ae4,502,118,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,41,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,43,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,44,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,46,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,49,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,67,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,104,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,106,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,107,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,494,108,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,45,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,48,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,51,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,56,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,57,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,64,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,70,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,71,TRUE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,112,FALSE
08fcb5ead4e963a6f0bbdbc971f4a3ee,502,118,FALSE
0a7ff96e4fa7c92a13ccab013d580930,494,41,FALSE
0a7ff96e4fa7c92a13ccab013d580930,494,43,TRUE
0a7ff96e4fa7c92a13ccab013d580930,494,44,TRUE
0a7ff96e4fa7c92a13ccab013d580930,494,46,TRUE
0a7ff96e4fa7c92a13ccab013d580930,494,49,FALSE
0a7ff96e4fa7c92a13ccab013d580930,494,67,TRUE
0a7ff96e4fa7c92a13ccab013d580930,494,104,FALSE
0a7ff96e4fa7c92a13ccab013d580930,494,106,FALSE
0a7ff96e4fa7c92a13ccab013d580930,494,107,FALSE
0a7ff96e4fa7c92a13ccab013d580930,494,108,FALSE
0aaf61723a352ba7ea1be4502df85765,494,41,FALSE
0aaf61723a352ba7ea1be4502df85765,494,43,TRUE
0aaf61723a352ba7ea1be4502df85765,494,44,TRUE
0aaf61723a352ba7ea1be4502df85765,494,46,TRUE
0aaf61723a352ba7ea1be4502df85765,494,49,FALSE
0aaf61723a352ba7ea1be4502df85765,494,67,TRUE
0aaf61723a352ba7ea1be4502df85765,494,104,FALSE
0aaf61723a352ba7ea1be4502df85765,494,106,FALSE
0aaf61723a352ba7ea1be4502df85765,494,107,FALSE
0aaf61723a352ba7ea1be4502df85765,494,108,FALSE
0aaf61723a352ba7ea1be4502df85765,502,45,FALSE
0aaf61723a352ba7ea1be4502df85765,502,48,TRUE
0aaf61723a352ba7ea1be4502df85765,502,51,FALSE
0aaf61723a352ba7ea1be4502df85765,502,56,TRUE
0aaf61723a352ba7ea1be4502df85765,502,57,TRUE
